title,problem_URL,acceptance,difficulty
361. Bomb Enemy,/problems/bomb-enemy,52.0%,Medium
362. Design Hit Counter,/problems/design-hit-counter,68.9%,Medium
363. Max Sum of Rectangle No Larger Than K,/problems/max-sum-of-rectangle-no-larger-than-k,44.3%,Hard
364. Nested List Weight Sum II,/problems/nested-list-weight-sum-ii,64.5%,Medium
365. Water and Jug Problem,/problems/water-and-jug-problem,42.1%,Medium
366. Find Leaves of Binary Tree,/problems/find-leaves-of-binary-tree,80.8%,Medium
367. Valid Perfect Square,/problems/valid-perfect-square,44.0%,Easy
368. Largest Divisible Subset,/problems/largest-divisible-subset,45.7%,Medium
369. Plus One Linked List,/problems/plus-one-linked-list,61.1%,Medium
370. Range Addition,/problems/range-addition,71.9%,Medium
371. Sum of Two Integers,/problems/sum-of-two-integers,52.8%,Medium
372. Super Pow,/problems/super-pow,35.1%,Medium
373. Find K Pairs with Smallest Sums,/problems/find-k-pairs-with-smallest-sums,40.2%,Medium
374. Guess Number Higher or Lower,/problems/guess-number-higher-or-lower,54.7%,Easy
375. Guess Number Higher or Lower II,/problems/guess-number-higher-or-lower-ii,50.2%,Medium
376. Wiggle Subsequence,/problems/wiggle-subsequence,48.7%,Medium
377. Combination Sum IV,/problems/combination-sum-iv,54.4%,Medium
378. Kth Smallest Element in a Sorted Matrix,/problems/kth-smallest-element-in-a-sorted-matrix,63.0%,Medium
379. Design Phone Directory,/problems/design-phone-directory,52.1%,Medium
380. Insert Delete GetRandom O(1),/problems/insert-delete-getrandom-o1,54.8%,Medium
381. Insert Delete GetRandom O(1) - Duplicates allowed,/problems/insert-delete-getrandom-o1-duplicates-allowed,35.7%,Hard
382. Linked List Random Node,/problems/linked-list-random-node,63.6%,Medium
383. Ransom Note,/problems/ransom-note,63.3%,Easy
384. Shuffle an Array,/problems/shuffle-an-array,58.7%,Medium
385. Mini Parser,/problems/mini-parser,39.2%,Medium
386. Lexicographical Numbers,/problems/lexicographical-numbers,72.8%,Medium
387. First Unique Character in a String,/problems/first-unique-character-in-a-string,62.9%,Easy
